Mineral,(Mg+Fe)/Al,(Mg+Fe)/Si,(Ca+Na)/Al,K/(K+Na+Ca),K/(Al+Si),Al/Si,Fe/Si,Ca/Si,K/Si,K/Al,Ca/Na,P/Ca,Ti/Fe,Mg/Al,|Na|,|Mg|,|Al|,|Si|,|P|,|K|,|Ca|,|Ti|,|Fe|
Ab,0.000988655,0.000349053,0.736441552,0.056213368,0.011445487,0.353058611,0.000293807,0.009517352,0.015486415,0.04386358,0.037994987,0.187203166,1.324786325,0.000156478,0.153573647,3.38709E-05,0.216458014,0.613093712,0.001092336,0.009494623,0.005835029,0.000238636,0.000180131
Ab,0.000867221,0.00030605,0.66920274,0.05389018,0.009943066,0.352909407,0.000304764,0.002489552,0.013452067,0.038117621,0.010653753,0.051136364,1.4092827,3.64378E-06,0.14574,8.02003E-07,0.220101726,0.623677697,7.93983E-05,0.008389754,0.001552678,0.000267869,0.000190075
Ab,0.000835693,0.000297086,0.735009324,0.046077311,0.009311151,0.355496084,0.000295858,0.001797245,0.012621228,0.035503142,0.006925915,0.74931694,1.365145228,3.45328E-06,0.159057544,7.52472E-07,0.217900859,0.61294869,0.000825462,0.007736165,0.001101619,0.000247563,0.000181346
Ab,0.00066773,0.000237905,0.776756485,0.064851867,0.014150665,0.356288686,0.000236852,0.001453745,0.019192387,0.053867518,0.005280667,2.472121651,1.653333333,2.95456E-06,0.166195867,6.355E-07,0.21509121,0.603699243,0.002169596,0.01158643,0.000877625,0.000236406,0.000142987
Ab,0.00082831,0.000284612,0.531376035,0.07293637,0.010691154,0.34360518,0.000283121,0.002846116,0.01436469,0.041805803,0.015834853,0,2.047368421,4.3367E-06,0.11660528,9.66716E-07,0.222915035,0.64875342,0,0.009319142,0.001846428,0.000376053,0.000183676
Ab,0.001064863,0.000367927,0.612180541,0.063882303,0.010727752,0.345515808,0.000366636,0.001489782,0.014434361,0.041776267,0.007093245,0.1152513,1.616197183,3.73636E-06,0.133554762,8.20916E-07,0.219709856,0.635889446,0.000109182,0.009178658,0.000947337,0.0003768,0.00023314
Ab,0.000456958,0.000162334,0.779009434,0.066929384,0.014647378,0.355250204,0.000161287,0.001539557,0.019850862,0.055878538,0.005594246,2.88707483,2.155844156,2.94811E-06,0.166105648,6.32133E-07,0.214419591,0.603573449,0.002682773,0.011981453,0.000929236,0.000209868,9.73485E-05
Ab,0.001111911,0.000407904,0.725871542,0.056024327,0.011562261,0.366849424,0.000377911,0.000872194,0.01580387,0.043079992,0.003286173,6.950481431,1.241269841,8.17581E-05,0.160285577,1.8113E-05,0.221543749,0.603909221,0.003661,0.009544103,0.000526726,0.000283287,0.000228224
Ab,0.001030503,0.000365369,0.697592745,0.039833879,0.007575202,0.354553958,0.000363907,0.002376359,0.01026102,0.028940643,0.009701092,0.067650677,1.200803213,4.12201E-06,0.151854214,9.05997E-07,0.219794955,0.61991962,9.96597E-05,0.006361007,0.001473152,0.000270893,0.000225593
Ab,0.000269378,9.71858E-05,0.838633994,0.064979606,0.0154519,0.36077874,5.74755E-05,0.00120176,0.021026616,0.058281196,0.003987794,6.444347826,9.072727273,0.000110068,0.178031687,2.34593E-05,0.213134266,0.590761712,0.004575188,0.01242172,0.000709954,0.000308058,3.39543E-05
Ab,0.000906034,0.000321079,0.761099695,0.05728775,0.012101833,0.354378145,0.000319975,0.00161091,0.016390458,0.046251323,0.006008478,1.745205479,1.15862069,3.11352E-06,0.163082726,6.7115E-07,0.21555994,0.608276621,0.00171009,0.009969932,0.000979879,0.000225506,0.000194633
Ab,0.040968697,0.015155928,0.848016724,0.074161899,0.018343377,0.369939236,0.000286245,0.003163762,0.025129313,0.067928217,0.010187581,4.356507937,1.322807018,0.040194934,0.178672553,0.008555133,0.212841079,0.575340645,0.007929895,0.014457915,0.001820241,0.000217851,0.000164688
Ab,0.028116639,0.01020524,0.770635803,0.068907905,0.015188049,0.362960862,0.000327336,0.002675425,0.020700717,0.057032917,0.009657345,3.774877651,0.176666667,0.02721479,0.164536143,0.005866663,0.215568917,0.593917801,0.005998214,0.012294524,0.001588982,3.43459E-05,0.000194411
Ab,0.014075754,0.005032751,0.692383365,0.078616895,0.015559693,0.357547547,0.000148487,0.003115061,0.021123023,0.059077521,0.012743409,2.474306964,2.177304965,0.013660462,0.149115949,0.002979492,0.218110663,0.610018623,0.004701791,0.012885437,0.001900245,0.00019722,9.05797E-05
Ab,0.000968205,0.000340203,0.669745143,0.066983127,0.01250203,0.35137508,0.00027765,0.000887821,0.016894932,0.048082329,0.003786921,5.266996292,0.57312253,0.000178025,0.145728026,3.88826E-05,0.218411269,0.621590095,0.002906648,0.010501722,0.000551861,9.8912E-05,0.000172584
Ab,0.031895067,0.011677436,0.76077994,0.074375651,0.016382872,0.366120445,0.000251228,0.004006203,0.022380977,0.061130093,0.014592905,2.812129032,1.152263374,0.031208878,0.16241823,0.006759984,0.216604533,0.591620971,0.006665178,0.013241055,0.002370154,0.000171263,0.000148632
Ab,0.015524115,0.005584791,0.74545727,0.060891106,0.012787977,0.359749391,0.000264197,0.001339315,0.017388444,0.048334882,0.005019196,5.507246377,0,0.014789725,0.160913157,0.003208509,0.216941759,0.603035793,0.004447953,0.010485854,0.000807655,0,0.00015932
Ab,0.00230554,0.000799627,0.589695952,0.056011753,0.009010385,0.346828662,0.000798333,0.000709055,0.012135445,0.034989741,0.003478923,0.890510949,0.094003241,3.73065E-06,0.130233373,8.26774E-07,0.221616657,0.638980224,0.000403466,0.007754309,0.000453072,4.79529E-05,0.000510119
Ab,0.002490879,0.000885926,0.656557429,0.065884206,0.012149116,0.355667912,0.000440726,0.001128661,0.016470167,0.046307712,0.004856799,4.747274529,0.007614213,0.00125173,0.144169914,0.000276196,0.2206511,0.620385175,0.003324062,0.010217848,0.000700204,2.08188E-06,0.00027342
Ab,0.000988056,0.000348832,0.638652992,0.072744441,0.013073346,0.353048969,0.000224091,0.001008964,0.017688877,0.050103183,0.004494935,4.277899344,0.275862069,0.000353324,0.140209342,7.79171E-05,0.220525975,0.624632824,0.002696068,0.011049053,0.000630232,3.86138E-05,0.000139975
Ab,0.011190085,0.004043903,0.744999253,0.059978145,0.012618219,0.361382719,0.00018455,0.000899005,0.017178225,0.047534717,0.00335036,7.781512605,0.052631579,0.010679409,0.161758123,0.002326538,0.217852663,0.602830881,0.004217175,0.010355565,0.000541948,5.85538E-06,0.000111252
Ab,0.015901494,0.005578557,0.667777475,0.075419483,0.014146765,0.350819672,0.000418811,0.002009094,0.019109728,0.054471656,0.00865018,3.201905896,1.98,0.014707688,0.143633081,0.00319086,0.216951812,0.618414042,0.003978215,0.011817724,0.001242452,0.000512817,0.000258998
Ab,0.003083908,0.00108062,0.619763894,0.071990732,0.012475494,0.350406028,0.000431484,0.002050505,0.016846982,0.04807846,0.00953198,2.649286158,0.96460177,0.001852525,0.135179774,0.000407915,0.220194023,0.628396791,0.003413687,0.01058659,0.001288531,0.000261545,0.000271143
Ab,0.001554893,0.000538295,0.536872099,0.088477089,0.013401271,0.346194047,0.000536988,0.003403538,0.018040712,0.05211156,0.018653777,0.834548944,3.897810219,3.77401E-06,0.117293703,8.39912E-07,0.222551468,0.642851803,0.001825969,0.011597504,0.002187971,0.001345539,0.000345204
Ab,0.01149846,0.004132689,0.747864738,0.061532797,0.0129644,0.35941236,0.000326814,0.000480302,0.017623965,0.049035501,0.001790092,14.55,0.025559105,0.010589158,0.161930232,0.002296905,0.216911019,0.603515746,0.004217609,0.01063634,0.00028987,5.04122E-06,0.000197238
Ab,0.01920557,0.006888521,0.710858771,0.078438691,0.015972513,0.358673088,0.000341423,0.002439487,0.021701424,0.060504745,0.009660324,3.752483801,1.009259259,0.018253665,0.152886235,0.003963788,0.217150258,0.605426683,0.005542158,0.013138621,0.001476931,0.00020862,0.000206706
Ab,0.008498185,0.00306018,0.770754425,0.053823355,0.011608207,0.360098088,0.00035871,0.000681954,0.0157883,0.043844444,0.002463126,9.640416048,0,0.00750204,0.166478597,0.001624389,0.216526366,0.601298293,0.003953128,0.009493478,0.000410058,0,0.000215692
Ab,0.017670745,0.00638486,0.699851324,0.070440904,0.014076309,0.361323753,0.000258528,0.002738607,0.019162414,0.053033917,0.010948546,2.933796485,0.593073593,0.016955242,0.151786806,0.003717588,0.219258927,0.606821238,0.004875514,0.01162816,0.001661845,9.30416E-05,0.00015688
Ab,0.001900824,0.000674909,0.631306252,0.076753026,0.013751878,0.355061198,0.000407166,0.002012388,0.018634636,0.052482886,0.009059098,2.636419375,0.481818182,0.000754074,0.138489112,0.000166919,0.22135643,0.623431767,0.003307616,0.011617424,0.001254586,0.000122305,0.00025384
Ab,0.002700157,0.000949367,0.615328798,0.071497005,0.012325647,0.351596997,0.000166814,0.002090079,0.016659307,0.047381825,0.009754981,2.022887324,1.845588235,0.002225711,0.134745689,0.000492144,0.221117769,0.628895499,0.002658967,0.010476963,0.001314442,0.000193618,0.000104908
Ab,0.012900648,0.004634276,0.704563615,0.073662625,0.014807312,0.359228152,0.000344461,0.002110355,0.020126515,0.056027109,0.008408167,3.692695214,0.512345679,0.011941756,0.152571411,0.002607699,0.218368155,0.607881521,0.004737159,0.012234537,0.001282846,0.000107281,0.000209391
Ab,0.000936633,0.000321432,0.563046219,0.076832207,0.011972719,0.343178222,0.000320196,0.001082979,0.016081495,0.046860478,0.00563634,1.324200913,0.297297297,3.60244E-06,0.123616945,7.95373E-07,0.220787722,0.643361694,0.000922633,0.010346218,0.000696747,6.12438E-05,0.000206002
Ab,0.00086627,0.000301364,0.65288937,0.057125134,0.010209329,0.347886687,0.000300108,0.002766267,0.013761019,0.039556037,0.012329304,0.893781207,0.171548117,3.60946E-06,0.140967967,7.88941E-07,0.218576088,0.628296787,0.001553425,0.008646004,0.001738037,3.23466E-05,0.000188557
Ab,0.013499396,0.004824311,0.693038874,0.060439058,0.01173741,0.357372344,0.000546053,0.00149212,0.015932036,0.044581053,0.006061075,3.96,0.095348837,0.011971431,0.15086804,0.002621863,0.219010027,0.61283429,0.003621113,0.009763698,0.000914423,3.19075E-05,0.00033464
Ab,0.01217062,0.004345446,0.706174501,0.061652466,0.012207493,0.35704389,0.000465943,0.000660365,0.016566104,0.046397947,0.002625966,9.289340102,0.045563549,0.010865619,0.153690141,0.002370977,0.218209134,0.61115493,0.00374904,0.010124456,0.000403585,1.29748E-05,0.000284763
Ab,0.025809457,0.00936592,0.748453878,0.070619457,0.015142846,0.362887121,0.000311704,0.00251371,0.02063799,0.056871652,0.009341501,4.135771332,0.515254237,0.024950501,0.160646092,0.005405334,0.216642297,0.596996378,0.006206451,0.012320805,0.001500676,9.58818E-05,0.000186086
Ab,0.01138789,0.004121842,0.762193223,0.057552773,0.012369761,0.36194955,0.000137292,0.000471302,0.016846991,0.046545135,0.00171131,15.81521739,0,0.011008577,0.165284073,0.002391331,0.217224347,0.600150896,0.004473369,0.010110737,0.000282852,0,8.23961E-05
Ab,0.016771375,0.006032311,0.760853553,0.048945936,0.010358364,0.359678969,0.00039999,0.000501286,0.01408405,0.039157279,0.001835124,14.43264249,0,0.015659301,0.164486572,0.003391548,0.216583631,0.602158173,0.00435654,0.008480826,0.000301853,0,0.000240857
Ab,0.002559403,0.000894062,0.6185704,0.079939051,0.013913743,0.349324309,0.000348707,0.001826996,0.018774152,0.053744191,0.008527215,2.669586984,1.321311475,0.00156117,0.134716441,0.000342902,0.219643871,0.628767783,0.003066704,0.011804582,0.001148756,0.000289705,0.000219256
Ab,0.032224135,0.011955018,0.784793141,0.067563678,0.015387999,0.370995778,0.000489553,0.002271572,0.021096882,0.056865557,0.007863283,4.980218636,0.154589372,0.030904571,0.169275083,0.006718343,0.217389949,0.585963402,0.006628959,0.012362001,0.001331058,4.43455E-05,0.00028686
Ab,0.001362019,0.000478638,0.63585571,0.061905466,0.010911263,0.351417722,0.000395643,0.000344483,0.014745674,0.041960531,0.001544028,10.64356436,0.261494253,0.00023617,0.139978458,5.20711E-05,0.220481764,0.627406504,0.0023004,0.009251532,0.000216131,6.49105E-05,0.000248229
