MINERAL,GROUP,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,Cr,Mn,Fe
Albite,Feldspar,5.806451613,25.16129032,0,18.06451613,47.74193548,0,1.290322581,0,1.290322581,0.64516129,0,0,0,0
Albite,Feldspar,1.19760479,24.5508982,0,19.76047904,52.69461078,0,0.598802395,0,1.19760479,0,0,0,0,0
Albite,Feldspar,4.724409449,25.98425197,0,18.8976378,48.81889764,0,0.787401575,0,0.787401575,0,0,0,0,0
Albite,Feldspar,3.555555556,26.66666667,0,18.22222222,48.44444444,0,1.777777778,0,1.333333333,0,0,0,0,0
Albite,Feldspar,0,19.73244147,0,20.40133779,57.85953177,0,0.668896321,0,1.003344482,0.334448161,0,0,0,0
Albite,Feldspar,1.877934272,22.53521127,0,19.71830986,53.99061033,0,0.938967136,0,0.938967136,0,0,0,0,0
Albite,Feldspar,4,26.22222222,0,18.22222222,47.55555556,0.444444444,2.222222222,0,1.333333333,0,0,0,0,0
Albite,Feldspar,5.607476636,26.1682243,0,18.69158879,46.72897196,0,1.869158879,0,0.934579439,0,0,0,0,0
Albite,Feldspar,2.97029703,25.74257426,0,18.81188119,50.4950495,0,0.99009901,0,0.99009901,0,0,0,0,0
Albite,Feldspar,5.701754386,27.63157895,0,17.54385965,45.1754386,0.438596491,2.192982456,0,1.315789474,0,0,0,0,0
Albite,Feldspar,4.191616766,26.34730539,0,18.56287425,48.50299401,0,1.19760479,0,1.19760479,0,0,0,0,0
Albite,Feldspar,8.163265306,27.04081633,1.020408163,16.83673469,42.85714286,0.510204082,1.530612245,0.510204082,1.530612245,0,0,0,0,0
Albite,Feldspar,5.813953488,26.1627907,0.581395349,18.02325581,45.93023256,0.581395349,1.162790698,0.581395349,1.162790698,0,0,0,0,0
Albite,Feldspar,3.333333333,24.16666667,0.416666667,18.75,50,0.416666667,0.833333333,0.416666667,1.25,0.416666667,0,0,0,0
Albite,Feldspar,2.230483271,23.79182156,0,19.33085502,52.41635688,0.371747212,0.743494424,0,1.115241636,0,0,0,0,0
Albite,Feldspar,6.542056075,25.23364486,0.46728972,17.75700935,45.79439252,0.46728972,1.401869159,0.46728972,1.401869159,0.46728972,0,0,0,0
Albite,Feldspar,5.154639175,25.77319588,0.515463918,18.04123711,47.42268041,0.515463918,1.030927835,0.515463918,1.030927835,0,0,0,0,0
Albite,Feldspar,0,22.52747253,0,20.32967033,55.49450549,0,0.549450549,0,1.098901099,0,0,0,0,0
Albite,Feldspar,1.724137931,23.70689655,0,19.39655172,52.15517241,0.431034483,0.862068966,0.431034483,1.293103448,0,0,0,0,0
Albite,Feldspar,0.689655172,23.10344828,0,19.65517241,53.79310345,0.344827586,0.689655172,0.344827586,1.379310345,0,0,0,0,0
Albite,Feldspar,4.6875,26.04166667,0,18.22916667,47.91666667,0.520833333,1.041666667,0.520833333,1.041666667,0,0,0,0,0
Albite,Feldspar,0.427350427,23.93162393,0.427350427,19.23076923,52.99145299,0.427350427,0.854700855,0.427350427,1.282051282,0,0,0,0,0
Albite,Feldspar,2.259887006,22.59887006,0,19.7740113,53.10734463,0.564971751,0.564971751,0,1.129943503,0,0,0,0,0
Albite,Feldspar,0,19.85294118,0,20.22058824,56.98529412,0.367647059,0.367647059,0,1.470588235,0.367647059,0.367647059,0,0,0
Albite,Feldspar,3.585657371,25.89641434,0.398406375,18.32669323,48.60557769,0.398406375,1.195219124,0.398406375,1.195219124,0,0,0,0,0
Albite,Feldspar,3.731343284,24.25373134,0.373134328,18.65671642,49.25373134,0.373134328,1.119402985,0.373134328,1.492537313,0.373134328,0,0,0,0
Albite,Feldspar,5.555555556,26.38888889,0,18.05555556,47.22222222,0.462962963,0.925925926,0.462962963,0.925925926,0,0,0,0,0
Albite,Feldspar,3.664921466,24.60732984,0.523560209,18.84816754,49.21465969,0.523560209,1.047120419,0.523560209,1.047120419,0,0,0,0,0
Albite,Feldspar,1.550387597,22.86821705,0,19.76744186,53.10077519,0.387596899,0.775193798,0.387596899,1.162790698,0,0,0,0,0
Albite,Feldspar,1.492537313,22.88557214,0,19.90049751,53.73134328,0.497512438,0.497512438,0,0.995024876,0,0,0,0,0
Albite,Feldspar,3.0651341,24.5210728,0.383141762,18.77394636,50.19157088,0.383141762,1.149425287,0.383141762,1.149425287,0,0,0,0,0
Albite,Feldspar,0,20.86092715,0,20.1986755,57.28476821,0,0.331125828,0,1.324503311,0,0,0,0,0
Albite,Feldspar,1.554404145,23.83419689,0,19.68911917,53.36787565,0,0.518134715,0,1.03626943,0,0,0,0,0
Albite,Feldspar,4.87804878,25.20325203,0,18.69918699,49.59349593,0,0.81300813,0,0.81300813,0,0,0,0,0
Albite,Feldspar,2.985074627,24.87562189,0.497512438,18.90547264,49.75124378,0.497512438,0.995024876,0.497512438,0.995024876,0,0,0,0,0
Albite,Feldspar,5.421686747,25.30120482,0.602409639,18.07228916,46.98795181,0.602409639,1.204819277,0.602409639,1.204819277,0,0,0,0,0
Albite,Feldspar,5.240174672,26.20087336,0.436681223,18.34061135,47.16157205,0.436681223,0.873362445,0.436681223,0.873362445,0,0,0,0,0
Albite,Feldspar,5.797101449,26.8115942,0,18.11594203,47.10144928,0.724637681,0.724637681,0,0.724637681,0,0,0,0,0
Albite,Feldspar,0,22.4025974,0,19.80519481,55.19480519,0.324675325,0.649350649,0.324675325,1.298701299,0,0,0,0,0
Albite,Feldspar,7.746478873,26.05633803,0.704225352,17.6056338,43.66197183,0.704225352,1.408450704,0.704225352,1.408450704,0,0,0,0,0
Albite,Feldspar,1.167315175,23.3463035,0,19.45525292,53.69649805,0.389105058,0.778210117,0,1.167315175,0,0,0,0,0
Albite,Feldspar,4.838709677,25,0.403225806,18.14516129,47.17741935,0.806451613,1.209677419,0.403225806,1.612903226,0.403225806,0,0,0,0
Albite,Feldspar,0.714285714,22.85714286,0,19.64285714,53.92857143,0.357142857,0.714285714,0.357142857,1.428571429,0,0,0,0,0
Albite,Feldspar,1.321585903,24.22907489,0,19.82378855,53.30396476,0,0.440528634,0,0.881057269,0,0,0,0,0
Albite,Feldspar,1.923076923,25,0.641025641,19.23076923,50.64102564,0.641025641,0.641025641,0,1.282051282,0,0,0,0,0
Albite,Feldspar,0,17.56097561,0,20.48780488,58.04878049,0,0.487804878,0,1.463414634,0.487804878,0.487804878,0.487804878,0.487804878,0
Albite,Feldspar,0,18.24104235,0,20.52117264,58.30618893,0,0.325732899,0.325732899,1.302931596,0.325732899,0.325732899,0.325732899,0,0
Albite,Feldspar,0.790513834,22.52964427,0,19.76284585,54.54545455,0.395256917,0.395256917,0,1.185770751,0.395256917,0,0,0,0
