MINERAL,GROUP,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,Cr,Mn,Fe
Albite,Feldspar,1599.4,19950,4.4,28119,79644,141.9,1619.5,103.9,1233.4,758,31,30.4,10.5,23.4
Albite,Feldspar,243.8,18172,0.1,27444,77765,9.9,986.8,105.3,1046.1,193.6,33.4,31,13.5,23.7
Albite,Feldspar,1262.3,21138,0.1,28958,81458,109.7,1557.3,125,1028.1,146.4,32.9,8.2,15.2,24.1
Albite,Feldspar,1288.5,26152,0.1,33846,94996,341.4,3319.2,237.2,1823.2,138.1,37.2,24.8,9.1,22.5
Albite,Feldspar,0.1,12062,0.1,23059,67109,0,619.7,87.4,964,191,38.9,31.6,6.5,19
Albite,Feldspar,523.1,16269,0.1,26764,77461,13.3,1185.7,126.3,1118.1,115.4,45.9,43.4,21.6,28.4
Albite,Feldspar,1493.4,26277,0.1,33920,95482,424.4,3624.2,244.8,1895.4,147,33.2,22.7,29.2,15.4
Albite,Feldspar,1554.6,22123,2.5,30578,83353,505.3,2414.1,137.3,1317.3,72.7,39.1,7.6,5.8,31.5
Albite,Feldspar,736.4,16761,0.1,24260,68424,11,894.2,71.6,702.1,162.6,29.9,13.1,4.2,24.9
Albite,Feldspar,2144.3,28838,3.8,34524,95693,741.1,4397.8,260.1,2012.1,115,49.9,14,19.2,5.5
Albite,Feldspar,1412.4,24299,0.1,32118,90632,254.8,2431.9,184.9,1485.5,146,33.6,31.2,16,29
Albite,Feldspar,3392.2,30920,1480.5,36833,99565,1372.3,3130.7,1146.8,2502,315,37.7,24.6,10.3,28.5
Albite,Feldspar,2051.1,25390,905.3,33265,91649,925.6,1945.7,807.5,1897.2,245.2,5.3,19.6,11,30
Albite,Feldspar,1132,23212,463.8,33952,94958,731.9,1616.4,670.7,2005.8,295.8,30.7,20.1,20.5,14.1
Albite,Feldspar,689.9,21363,5.7,32018,91122,426.1,1283.7,250.7,1539.5,80.9,14.5,64,22.3,25.3
Albite,Feldspar,2444.1,26554,1105.2,35413,96725,1089.7,2378.8,955.1,2164.8,387.5,28,12.9,9.2,24.3
Albite,Feldspar,1811.3,24745,493.4,33361,92734,684,1728.6,606.3,1612.5,124.2,0,3.8,15.9,24.5
Albite,Feldspar,20.8,15752,0.1,26805,77286,48.8,494.9,91.9,937.9,54.8,5.8,28.4,36.3,61.7
Albite,Feldspar,601,20775,39.8,31796,89398,479,1125.1,385.3,1472.4,100.9,0.3,14.8,28,39.4
Albite,Feldspar,265.8,20334,11.3,31982,90588,391,1110.2,321.1,1602.4,91.4,5.6,17.6,22.5,20.3
Albite,Feldspar,1667,24863,357.6,33485,92658,648.2,1701.4,491.6,1591.7,83.3,0.9,10.3,36.5,17.1
Albite,Feldspar,167.3,19410,431.2,29318,83570,537.6,1168.9,497.4,1597,167.9,69.3,43.6,10.4,35
Albite,Feldspar,552.8,16901,51,27530,78566,426.8,763.1,269.7,1323.6,161.1,32.7,50.2,23,33.9
Albite,Feldspar,0.1,13965,0.1,26497,76538,217.4,509.5,205.2,1380.8,260.5,160.2,78.5,24.7,41.1
Albite,Feldspar,1358.5,25697,364.5,34422,95773,669.3,1847.6,566.3,1687.9,46,0.8,7.8,17.5,31.3
Albite,Feldspar,1280.8,23964,621.3,34037,94897,868.7,1862.9,727.7,2059.4,231.5,32.7,19.8,12,32.4
Albite,Feldspar,2146.4,27323,266.6,35537,98687,648.8,2035,484.3,1558.1,67.3,0,26.9,29.1,35.4
Albite,Feldspar,1200.2,22350,547.4,32285,89352,717.9,1467.8,629.1,1712.2,244.7,13.7,19.1,10.4,23.1
Albite,Feldspar,418.8,18004,21.7,28777,81048,430,1036.7,349.6,1510.3,163.1,15.9,20.9,15.1,33
Albite,Feldspar,377.3,17468,63.8,28665,81528,344.7,872,319.7,1358.2,170.4,25.1,34.1,29.3,13.6
Albite,Feldspar,1110.6,23608,403.5,33789,94060,733,1684.1,634.2,1893.1,198.5,16.6,35.3,19.2,32.4
Albite,Feldspar,0.1,15542,0.1,27759,80888,116,519.9,149.4,1300.8,87.6,7.7,17.3,31,25.9
Albite,Feldspar,479.7,17868,0.1,27705,79638,196.9,811,141.6,1095.9,220.3,4.1,22.9,27.2,23.9
Albite,Feldspar,1223.1,19386,336.9,28142,78747,465.3,1072.7,350.9,1254.6,117.5,4.1,15.2,20.8,43
Albite,Feldspar,973.2,22506,347.2,31954,89496,549,1340.6,475.9,1482.6,59.1,1.9,4.6,24.9,41.7
Albite,Feldspar,1973.3,25467,856.9,34344,94641,983.9,2002.1,798.9,1953.2,237.9,15.2,36,27.9,29.5
Albite,Feldspar,1943.3,26880,388.9,35327,97602,727.5,1945.4,608.9,1644.3,46,0,4.9,17.9,13.4
Albite,Feldspar,1716.2,21034,433.7,27696,77002,557.1,1521.6,380.9,1084.5,38.6,0,7.6,22.3,30.8
Albite,Feldspar,0.1,18740,47.7,30554,87466,426.6,1027.3,416.7,1642.1,159.8,40.3,29.2,18.7,30.5
Albite,Feldspar,2615.7,24430,969.6,31374,84567,956.7,2088,727.7,1784.1,192.1,6.4,13,29.3,41.4
Albite,Feldspar,319.4,19624,7.3,30910,87958,322.5,969.1,265,1297,30.3,9.1,18.4,17.1,34.8
Albite,Feldspar,1760.7,25333,892.7,34323,94362,1042.8,2191.6,929.7,2248.7,383.2,127.2,38.2,24.5,43.1
Albite,Feldspar,274.7,19869,19.5,31748,90344,376.1,1043.1,373.8,1684.9,150.9,7.2,19.6,12.2,37.7
Albite,Feldspar,441.3,20395,0.1,31219,88491,284.3,881.8,201.4,1338.4,123.1,15.4,66.3,20.6,19
Albite,Feldspar,464.1,16978,343.9,24596,69358,441.8,823.8,365.3,1152,145.9,32.5,34.3,18,27.5
Albite,Feldspar,0.1,8403.2,0.1,18627,54185,9.6,196.5,147.8,951.1,341.4,324.5,203.7,113.7,65.4
Albite,Feldspar,0.1,11946,0.1,24455,71162,109.4,298.1,206.8,1302.5,335.7,277,139.3,75.2,62.2
Albite,Feldspar,189.8,17372,0.1,28339,80862,254.9,754.4,240.9,1337,214.9,106.5,50.1,21.9,51.7
Albite,Feldspar,1.3,15644,0.1,24998,70533,146.3,783.2,116.2,1068.2,66.1,33.7,49.8,35,145.3
Albite,Feldspar,732.1,21496,474.2,31860,89345,675.2,1391.4,648.8,1870.9,309.6,135.5,43.6,13.3,26.9
Albite,Feldspar,24.1,18698,0.1,30377,86673,225.2,739.9,173.3,1337.7,29.8,9.2,32.3,25.9,27
Albite,Feldspar,0.1,6548.9,0.1,13956,40566,20.2,340.8,149,848.5,198.2,187,85.1,44.4,23.6
Albite,Feldspar,0.1,10428,0.1,20750,60589,67.4,431.1,189.3,1024.5,278.9,250.6,153.3,59.7,49.8
Albite,Feldspar,0.1,9462.9,5.9,21120,50518,17.4,136.7,38.3,596,20.8,20.1,38.7,31.8,36.4
Albite,Feldspar,821.8,23518,132.9,32970,93111,506.2,1364.6,480.5,1578,41,0.7,22.5,26.6,26
Albite,Feldspar,468,18109,365.8,27863,78836,516.3,1067.1,452,1449.7,231.2,40.2,32,25.4,23.7
Albite,Feldspar,1107.9,13004,787.4,16534,44434,1096.1,1886.4,497.2,1332.3,290.7,110.8,49.9,14.3,25.9
Albite,Feldspar,261.1,19107,3.8,30553,86697,298.2,933.9,247.1,1227.8,140.3,3.2,19.5,31.4,45.2
Albite,Feldspar,0.1,13815,64.7,22329,64166,175.1,373.1,88.3,692.3,61.4,29.4,29.4,17.3,18.1
Albite,Feldspar,254.6,12047,0.1,20225,58132,127,614.1,154.5,980.5,321.2,149.2,97.8,35.9,31.9
Albite,Feldspar,0.1,9052.7,0.1,19167,56196,43.5,171.2,183.9,1076,345.1,349.3,226.7,94.3,57.7
Apatite,Apatite,3662.2,1117.9,101.7,2.3,194.4,31404,139.3,619.1,0,37954,129.3,67.2,151.7,26.5
Apatite,Apatite,3198.9,338,0,0,147.3,38956,258.5,832.5,0,48918,131,234.7,389.8,29
Apatite,Apatite,241.3,15.5,0,44.8,77.9,7725.9,0.4,54.6,0,10388,47.4,45.1,56.5,22.6
Apatite,Apatite,2097.4,234.1,6.8,21.6,305.3,31744,160.4,643,0,39650,116,180.1,347.6,19.9
Apatite,Apatite,2929,202.7,0,13.1,201.8,45634,181.9,812.9,0,55639,98,169.1,219.2,0
Apatite,Apatite,1129.8,870,448.7,382.6,388.7,14271,137.7,411.5,0.6,17524,58.2,55.2,100.8,14.5
Apatite,Apatite,567.7,171.1,70.6,222.7,446.9,13462,129.6,399.2,11.8,17137,55.5,87.1,123.4,8.5
Apatite,Apatite,59.6,0,0,11.8,5.6,2737.1,0.1,38.2,172.3,9636.2,19.8,50.5,9.9,16.9
Apatite,Apatite,1413.4,0,0,0,184.3,39845,108.3,560.3,0.1,53926,83.8,205.6,86,1.2
Apatite,Apatite,3939.9,551.9,0.1,0,182,41095,169.4,799.6,0,50381,157,213.8,375.1,13.6
Apatite,Apatite,0.1,0,0,0,0,5600.4,0.1,21.1,119.5,25347,38.1,129.9,34.6,29.9
Apatite,Apatite,2060.8,21.6,0,0,216.1,41234,134,719.5,0,54134,96.5,159.1,125.2,2
Apatite,Apatite,327,0,0,0,122.5,25795,44.5,377,62.3,41986,75.6,107.3,8.6,3.3
Apatite,Apatite,778.1,0,0,0,19.6,22637,10.2,277.4,27.4,42564,76.6,71.6,16.7,1.1
Apatite,Apatite,1219.5,13.8,0,27.3,336.7,28449,235.4,572.2,0,37818,98.2,174.5,206.2,19
Apatite,Apatite,1626.5,11.5,0,0,358.5,32998,104.6,625.1,1.1,47205,105.9,195,136.1,17.6
Apatite,Apatite,98.1,0,0,0,2.9,13054,0.1,140,84.7,25665,59.6,86.6,13.3,9.9
Apatite,Apatite,2894.7,153.5,0,57.5,481.1,35326,94.3,526.2,0,44830,101.2,123.8,174.5,16
Apatite,Apatite,3122.3,322.1,0,7,226.2,44820,209.8,874.9,0,54557,129.8,166.1,329.9,0
Apatite,Apatite,2281.9,143.5,0,3.3,217.5,39533,302.8,708.3,0,49494,115.3,243,336,32.9
Apatite,Apatite,1880.4,0.3,0,15.7,269.9,42931,185.8,818.8,4.9,55758,67.1,92.6,16.6,0
Apatite,Apatite,2148.9,78,0,9.4,362.1,38470,227.5,726.6,0,49558,93.1,189.4,253.3,18.7
Apatite,Apatite,1403.7,251.7,21,134.8,304.8,21908,101.9,501.6,0,27004,85.4,138.4,260.2,16.7
Apatite,Apatite,1955.3,42,0,0.2,298.2,39994,282.4,710.9,0,52260,88.1,138,113.4,0.5
Apatite,Apatite,2070.3,0,0,0,282.8,43306,176.7,791.8,0,55750,107.4,180.1,98.9,3.3
Apatite,Apatite,555.5,0,0,9.9,226.9,28452,271.7,540.8,67,43950,192.8,272.6,182.6,48.9
Apatite,Apatite,2534,69.5,0,0,202.1,40566,156.4,800.3,0,52006,115.3,160.3,201.4,0.6
Apatite,Apatite,1962.7,12.4,0,0,244.5,40587,250.4,763.5,0,52837,102.3,196.2,135.9,0.7
Apatite,Apatite,2792.8,120.9,0,17.1,244,45522,184.6,873.3,0,56827,120.5,197.8,187.8,0
Apatite,Apatite,1954.8,58.5,0,6.6,284.5,45826,172.8,812.8,0,57847,100.2,196.8,127.5,0
Apatite,Apatite,2371.4,147,4,126.6,471.6,41697,350.7,929,21.9,53377,89.7,202.6,129.2,2.9
Apatite,Apatite,2262.3,79.4,0,0,287.8,40696,375.3,806.8,0,52291,129.5,271.9,350.4,21.5
