Mineral,(Mg+Fe)/Al,(Mg+Fe)/Si,(Ca+Na)/Al,K/(K+Na+Ca),K/(Al+Si),Al/Si,Fe/Si,Ca/Si,K/Si,K/Al,Ca/Na,P/Ca,Ti/Fe,Mg/Al,|Na|,|Mg|,|Al|,|Si|,|P|,|K|,|Ca|,|Ti|,|Fe|
Albite,0.00098866,0.00034905,0.73644155,0.05621337,0.01144549,0.35305861,0.00029381,0.00951735,0.01548642,0.04386358,0.03799499,0.18720317,1.32478633,0.00015648,0.15357365,0.00003387,0.21645801,0.61309371,0.00109234,0.00949462,0.00583503,0.00023864,0.00018013
Albite,0.00086722,0.00030605,0.66920274,0.05389018,0.00994307,0.35290941,0.00030476,0.00248955,0.01345207,0.03811762,0.01065375,0.05113636,1.40928270,0.00000364,0.14574000,0.00000080,0.22010173,0.62367770,0.00007940,0.00838975,0.00155268,0.00026787,0.00019008
Albite,0.00083569,0.00029709,0.73500932,0.04607731,0.00931115,0.35549608,0.00029586,0.00179725,0.01262123,0.03550314,0.00692592,0.74931694,1.36514523,0.00000345,0.15905754,0.00000075,0.21790086,0.61294869,0.00082546,0.00773617,0.00110162,0.00024756,0.00018135
Albite,0.00066773,0.00023791,0.77675649,0.06485187,0.01415067,0.35628869,0.00023685,0.00145375,0.01919239,0.05386752,0.00528067,2.47212165,1.65333333,0.00000295,0.16619587,0.00000064,0.21509121,0.60369924,0.00216960,0.01158643,0.00087763,0.00023641,0.00014299
Albite,0.00082831,0.00028461,0.53137604,0.07293637,0.01069115,0.34360518,0.00028312,0.00284612,0.01436469,0.04180580,0.01583485,0.00000000,2.04736842,0.00000434,0.11660528,0.00000097,0.22291504,0.64875342,0.00000000,0.00931914,0.00184643,0.00037605,0.00018368
Albite,0.00106486,0.00036793,0.61218054,0.06388230,0.01072775,0.34551581,0.00036664,0.00148978,0.01443436,0.04177627,0.00709325,0.11525130,1.61619718,0.00000374,0.13355476,0.00000082,0.21970986,0.63588945,0.00010918,0.00917866,0.00094734,0.00037680,0.00023314
Albite,0.00045696,0.00016233,0.77900943,0.06692938,0.01464738,0.35525020,0.00016129,0.00153956,0.01985086,0.05587854,0.00559425,2.88707483,2.15584416,0.00000295,0.16610565,0.00000063,0.21441959,0.60357345,0.00268277,0.01198145,0.00092924,0.00020987,0.00009735
Albite,0.00111191,0.00040790,0.72587154,0.05602433,0.01156226,0.36684942,0.00037791,0.00087219,0.01580387,0.04307999,0.00328617,6.95048143,1.24126984,0.00008176,0.16028558,0.00001811,0.22154375,0.60390922,0.00366100,0.00954410,0.00052673,0.00028329,0.00022822
Albite,0.00103050,0.00036537,0.69759275,0.03983388,0.00757520,0.35455396,0.00036391,0.00237636,0.01026102,0.02894064,0.00970109,0.06765068,1.20080321,0.00000412,0.15185421,0.00000091,0.21979496,0.61991962,0.00009966,0.00636101,0.00147315,0.00027089,0.00022559
Albite,0.00026938,0.00009719,0.83863399,0.06497961,0.01545190,0.36077874,0.00005748,0.00120176,0.02102662,0.05828120,0.00398779,6.44434783,9.07272727,0.00011007,0.17803169,0.00002346,0.21313427,0.59076171,0.00457519,0.01242172,0.00070995,0.00030806,0.00003395
Albite,0.00090603,0.00032108,0.76109970,0.05728775,0.01210183,0.35437815,0.00031998,0.00161091,0.01639046,0.04625132,0.00600848,1.74520548,1.15862069,0.00000311,0.16308273,0.00000067,0.21555994,0.60827662,0.00171009,0.00996993,0.00097988,0.00022551,0.00019463
Albite,0.04096870,0.01515593,0.84801672,0.07416190,0.01834338,0.36993924,0.00028625,0.00316376,0.02512931,0.06792822,0.01018758,4.35650794,1.32280702,0.04019493,0.17867255,0.00855513,0.21284108,0.57534065,0.00792990,0.01445792,0.00182024,0.00021785,0.00016469
Albite,0.02811664,0.01020524,0.77063580,0.06890791,0.01518805,0.36296086,0.00032734,0.00267543,0.02070072,0.05703292,0.00965735,3.77487765,0.17666667,0.02721479,0.16453614,0.00586666,0.21556892,0.59391780,0.00599821,0.01229452,0.00158898,0.00003435,0.00019441
Albite,0.01407575,0.00503275,0.69238337,0.07861690,0.01555969,0.35754755,0.00014849,0.00311506,0.02112302,0.05907752,0.01274341,2.47430696,2.17730497,0.01366046,0.14911595,0.00297949,0.21811066,0.61001862,0.00470179,0.01288544,0.00190025,0.00019722,0.00009058
Albite,0.00096821,0.00034020,0.66974514,0.06698313,0.01250203,0.35137508,0.00027765,0.00088782,0.01689493,0.04808233,0.00378692,5.26699629,0.57312253,0.00017803,0.14572803,0.00003888,0.21841127,0.62159010,0.00290665,0.01050172,0.00055186,0.00009891,0.00017258
Albite,0.03189507,0.01167744,0.76077994,0.07437565,0.01638287,0.36612045,0.00025123,0.00400620,0.02238098,0.06113009,0.01459291,2.81212903,1.15226337,0.03120888,0.16241823,0.00675998,0.21660453,0.59162097,0.00666518,0.01324106,0.00237015,0.00017126,0.00014863
Albite,0.01552412,0.00558479,0.74545727,0.06089111,0.01278798,0.35974939,0.00026420,0.00133932,0.01738844,0.04833488,0.00501920,5.50724638,0.00000000,0.01478973,0.16091316,0.00320851,0.21694176,0.60303579,0.00444795,0.01048585,0.00080766,0.00000000,0.00015932
Albite,0.00230554,0.00079963,0.58969595,0.05601175,0.00901039,0.34682866,0.00079833,0.00070906,0.01213545,0.03498974,0.00347892,0.89051095,0.09400324,0.00000373,0.13023337,0.00000083,0.22161666,0.63898022,0.00040347,0.00775431,0.00045307,0.00004795,0.00051012
Albite,0.00249088,0.00088593,0.65655743,0.06588421,0.01214912,0.35566791,0.00044073,0.00112866,0.01647017,0.04630771,0.00485680,4.74727453,0.00761421,0.00125173,0.14416991,0.00027620,0.22065110,0.62038518,0.00332406,0.01021785,0.00070020,0.00000208,0.00027342
Albite,0.00098806,0.00034883,0.63865299,0.07274444,0.01307335,0.35304897,0.00022409,0.00100896,0.01768888,0.05010318,0.00449494,4.27789934,0.27586207,0.00035332,0.14020934,0.00007792,0.22052598,0.62463282,0.00269607,0.01104905,0.00063023,0.00003861,0.00013998
Albite,0.01119009,0.00404390,0.74499925,0.05997815,0.01261822,0.36138272,0.00018455,0.00089901,0.01717823,0.04753472,0.00335036,7.78151261,0.05263158,0.01067941,0.16175812,0.00232654,0.21785266,0.60283088,0.00421718,0.01035557,0.00054195,0.00000586,0.00011125
Albite,0.01590149,0.00557856,0.66777748,0.07541948,0.01414677,0.35081967,0.00041881,0.00200909,0.01910973,0.05447166,0.00865018,3.20190590,1.98000000,0.01470769,0.14363308,0.00319086,0.21695181,0.61841404,0.00397822,0.01181772,0.00124245,0.00051282,0.00025900
Albite,0.00308391,0.00108062,0.61976389,0.07199073,0.01247549,0.35040603,0.00043148,0.00205051,0.01684698,0.04807846,0.00953198,2.64928616,0.96460177,0.00185253,0.13517977,0.00040792,0.22019402,0.62839679,0.00341369,0.01058659,0.00128853,0.00026155,0.00027114
Albite,0.00155489,0.00053830,0.53687210,0.08847709,0.01340127,0.34619405,0.00053699,0.00340354,0.01804071,0.05211156,0.01865378,0.83454894,3.89781022,0.00000377,0.11729370,0.00000084,0.22255147,0.64285180,0.00182597,0.01159750,0.00218797,0.00134554,0.00034520
Albite,0.01149846,0.00413269,0.74786474,0.06153280,0.01296440,0.35941236,0.00032681,0.00048030,0.01762397,0.04903550,0.00179009,14.55000000,0.02555911,0.01058916,0.16193023,0.00229691,0.21691102,0.60351575,0.00421761,0.01063634,0.00028987,0.00000504,0.00019724
Albite,0.01920557,0.00688852,0.71085877,0.07843869,0.01597251,0.35867309,0.00034142,0.00243949,0.02170142,0.06050475,0.00966032,3.75248380,1.00925926,0.01825367,0.15288624,0.00396379,0.21715026,0.60542668,0.00554216,0.01313862,0.00147693,0.00020862,0.00020671
Albite,0.00849819,0.00306018,0.77075443,0.05382336,0.01160821,0.36009809,0.00035871,0.00068195,0.01578830,0.04384444,0.00246313,9.64041605,0.00000000,0.00750204,0.16647860,0.00162439,0.21652637,0.60129829,0.00395313,0.00949348,0.00041006,0.00000000,0.00021569
Albite,0.01767075,0.00638486,0.69985132,0.07044090,0.01407631,0.36132375,0.00025853,0.00273861,0.01916241,0.05303392,0.01094855,2.93379649,0.59307359,0.01695524,0.15178681,0.00371759,0.21925893,0.60682124,0.00487551,0.01162816,0.00166185,0.00009304,0.00015688
Albite,0.00190082,0.00067491,0.63130625,0.07675303,0.01375188,0.35506120,0.00040717,0.00201239,0.01863464,0.05248289,0.00905910,2.63641938,0.48181818,0.00075407,0.13848911,0.00016692,0.22135643,0.62343177,0.00330762,0.01161742,0.00125459,0.00012231,0.00025384
Albite,0.00270016,0.00094937,0.61532880,0.07149701,0.01232565,0.35159700,0.00016681,0.00209008,0.01665931,0.04738183,0.00975498,2.02288732,1.84558824,0.00222571,0.13474569,0.00049214,0.22111777,0.62889550,0.00265897,0.01047696,0.00131444,0.00019362,0.00010491
Albite,0.01290065,0.00463428,0.70456362,0.07366263,0.01480731,0.35922815,0.00034446,0.00211036,0.02012652,0.05602711,0.00840817,3.69269521,0.51234568,0.01194176,0.15257141,0.00260770,0.21836816,0.60788152,0.00473716,0.01223454,0.00128285,0.00010728,0.00020939
Albite,0.00093663,0.00032143,0.56304622,0.07683221,0.01197272,0.34317822,0.00032020,0.00108298,0.01608150,0.04686048,0.00563634,1.32420091,0.29729730,0.00000360,0.12361695,0.00000080,0.22078772,0.64336169,0.00092263,0.01034622,0.00069675,0.00006124,0.00020600
Albite,0.00086627,0.00030136,0.65288937,0.05712513,0.01020933,0.34788669,0.00030011,0.00276627,0.01376102,0.03955604,0.01232930,0.89378121,0.17154812,0.00000361,0.14096797,0.00000079,0.21857609,0.62829679,0.00155343,0.00864600,0.00173804,0.00003235,0.00018856
Albite,0.01349940,0.00482431,0.69303887,0.06043906,0.01173741,0.35737234,0.00054605,0.00149212,0.01593204,0.04458105,0.00606108,3.96000000,0.09534884,0.01197143,0.15086804,0.00262186,0.21901003,0.61283429,0.00362111,0.00976370,0.00091442,0.00003191,0.00033464
Albite,0.01217062,0.00434545,0.70617450,0.06165247,0.01220749,0.35704389,0.00046594,0.00066037,0.01656610,0.04639795,0.00262597,9.28934010,0.04556355,0.01086562,0.15369014,0.00237098,0.21820913,0.61115493,0.00374904,0.01012446,0.00040359,0.00001297,0.00028476
Albite,0.02580946,0.00936592,0.74845388,0.07061946,0.01514285,0.36288712,0.00031170,0.00251371,0.02063799,0.05687165,0.00934150,4.13577133,0.51525424,0.02495050,0.16064609,0.00540533,0.21664230,0.59699638,0.00620645,0.01232081,0.00150068,0.00009588,0.00018609
Albite,0.01138789,0.00412184,0.76219322,0.05755277,0.01236976,0.36194955,0.00013729,0.00047130,0.01684699,0.04654514,0.00171131,15.81521739,0.00000000,0.01100858,0.16528407,0.00239133,0.21722435,0.60015090,0.00447337,0.01011074,0.00028285,0.00000000,0.00008240
Albite,0.01677138,0.00603231,0.76085355,0.04894594,0.01035836,0.35967897,0.00039999,0.00050129,0.01408405,0.03915728,0.00183512,14.43264249,0.00000000,0.01565930,0.16448657,0.00339155,0.21658363,0.60215817,0.00435654,0.00848083,0.00030185,0.00000000,0.00024086
Albite,0.00255940,0.00089406,0.61857040,0.07993905,0.01391374,0.34932431,0.00034871,0.00182700,0.01877415,0.05374419,0.00852722,2.66958698,1.32131148,0.00156117,0.13471644,0.00034290,0.21964387,0.62876778,0.00306670,0.01180458,0.00114876,0.00028971,0.00021926
Albite,0.03222414,0.01195502,0.78479314,0.06756368,0.01538800,0.37099578,0.00048955,0.00227157,0.02109688,0.05686556,0.00786328,4.98021864,0.15458937,0.03090457,0.16927508,0.00671834,0.21738995,0.58596340,0.00662896,0.01236200,0.00133106,0.00004435,0.00028686
Albite,0.00136202,0.00047864,0.63585571,0.06190547,0.01091126,0.35141772,0.00039564,0.00034448,0.01474567,0.04196053,0.00154403,10.64356436,0.26149425,0.00023617,0.13997846,0.00005207,0.22048176,0.62740650,0.00230040,0.00925153,0.00021613,0.00006491,0.00024823
Albite,0.02726452,0.00991713,0.74924103,0.08041152,0.01747445,0.36373752,0.00045675,0.00406096,0.02383057,0.06551584,0.01512652,2.72129436,2.95127610,0.02600880,0.15957222,0.00562311,0.21620011,0.59438496,0.00656858,0.01416453,0.00241377,0.00080123,0.00027149
Albite,0.00180169,0.00063314,0.63058775,0.07762799,0.01380025,0.35141238,0.00041729,0.00167028,0.01864983,0.05307106,0.00759475,2.49237906,0.19098143,0.00061421,0.13775216,0.00013519,0.22010950,0.62635671,0.00260751,0.01168144,0.00104619,0.00004992,0.00026138
Albite,0.00061181,0.00021584,0.65723117,0.06123579,0.01118035,0.35279294,0.00021471,0.00139110,0.01512470,0.04287133,0.00603579,2.30950447,0.81052632,0.00000320,0.14374287,0.00000070,0.22002984,0.62367983,0.00200373,0.00943297,0.00086760,0.00010854,0.00013391
Albite,0.01510002,0.00535483,0.69620670,0.06303383,0.01226132,0.35462384,0.00039649,0.00210358,0.01660948,0.04683688,0.00859347,3.02810144,1.18181818,0.01398195,0.15014734,0.00304133,0.21751819,0.61337725,0.00390712,0.01018787,0.00129029,0.00028742,0.00024320
Albite,0.00351640,0.00120882,0.46945831,0.09809503,0.01306241,0.34376673,0.00120698,0.00630064,0.01755283,0.05106029,0.04062738,0.02811951,4.96177370,0.00000537,0.10135658,0.00000121,0.22467262,0.65356127,0.00011579,0.01147185,0.00411785,0.00391401,0.00078883
Albite,0.00254754,0.00087547,0.50221632,0.09588345,0.01362206,0.34365251,0.00087406,0.00471741,0.01830331,0.05326109,0.02810146,0.32588621,4.45337621,0.00000409,0.10894675,0.00000091,0.22302802,0.64899284,0.00099772,0.01187872,0.00306156,0.00252622,0.00056726
Albite,0.00182787,0.00064060,0.62059000,0.07065140,0.01224348,0.35046128,0.00063936,0.00265761,0.01653434,0.04717880,0.01237048,1.18613309,2.05996132,0.00000353,0.13515059,0.00000078,0.22047160,0.62908974,0.00198307,0.01040159,0.00167188,0.00082855,0.00040222
